id,question,is_original,rewrite_from,module,discipline,discipline_group,course,task_type,supplementary_material
1,"Some people think that children should be taught to compete, but others think that children should be taught to co-operate that become more useful adults. What do you think?",1,,,,,,,
2,"Nowadays, more people are migrating to other countries than ever before. In order to become integrated into society in their adopted countries, immigrants should abandon their old ways and adapt to local customs and codes of behaviour. Do you agree or disagree?",1,,,,,,,
3,"International tourism is now more common than ever before. Some feel that this is a positive trend, while others do not. What are your opinions on this?",1,,,,,,,
4,"The idea of going overseas for university study is an exciting prospect for many people. But while it may offer some advantages, it is probably better to stay home because of the difficulties a student inevitably encounters living and studying in a different culture. To what extent do you agree or disagree this statement? Give reasons for your answer.",1,,,,,,,
5,Many students choose to attend schools or universities outside their home countries. Why do some students study abroad? Use specific reasons and details to explain your answer.,1,,,,,,,
6,"With the rise in popularity of the internet, newspapers will soon become a thing of the past. To what extent do you agree or disagree?",1,,,,,,,
7,"For successful development of a country, should a government focus its budget more on very young children education rather than universities?",1,,,,,,,
8,Many students have to live with roommates while going to school or university. What are some of the important qualities of a good roommate? Use specific reasons and examples to explain why these qualities are important.,1,,,,,,,
9,"Should governments spend more money on improving roads and highways or should governments spend more money on improving public transportation (buses, trains, subways) . Why? Use specific reasons and details to develop your essay",1,,,,,,,
10,Some people say that physical exercise should be a required part of every school day. Other people believe that students should spend the whole school day on academic studies. Which opinion do you agree with? Use specific reasons and details to support your answer. ,1,,,,,,,
11,Advance in transportation and communication like the airplane and the telephone have changed the way that nations interact with each other in a global society. Choose another technological innovation that you think is important. Give specific reason for your choice.,1,,,,,,,
12,Agree or disagree:Technology has made children less creative than they were in the past.,1,,,,,,,
13,"Students at schools and universities learn far more from lessons with teachers than from others sources (such as the internet, television).To what extent do you agree or disagree?",1,,,,,,,
14,Email and text messaging have transformed communication but they are seriously threatening the status of written language. How far do you agree or disagree with this statement?,1,,,,,,,
15,Some people think it is acceptable to use animals for the benefit of the human beings. Some people think it is wrong to exploit animals for the human purposes. What is your opinion?,1,,,,,,,
