,detector,threshold_type,threshold,acc,specificity,f1
0,DetectGPT,f1-score,0.509296337174836,0.7576194086429113,0.6459179070816419,0.7293180142294672
1,DetectGPT,minimal-fp,1.09461934170941,0.5338893100833965,0.9501578709968426,0.5287003575320803
2,DetectGPT,j-index,0.601297699123382,0.7393479909021986,0.7203428055931439,0.7212140022177849
3,Fast-DetectGPT,f1-score,2.08278846740723,0.8373223359599381,0.7266375545851529,0.815030624673158
4,Fast-DetectGPT,minimal-fp,3.38948488235474,0.6869430738640548,0.9502183406113537,0.6862805904776071
5,Fast-DetectGPT,j-index,2.50610685348511,0.814198394579866,0.8347161572052402,0.8016925750681398
6,Ghostbuster,f1-score,0.22207059912213,0.7520375945370439,0.6150655021834062,0.7199806151229233
7,Ghostbuster,minimal-fp,0.77548811364644,0.4665540788604156,0.9502183406113537,0.4501835381746517
8,Ghostbuster,j-index,0.274120963914777,0.7384536309567516,0.6799126637554586,0.7160049367763848
9,Ghostbuster,static,0.5,0.6305896174462149,0.8353711790393014,0.6288364371028954
10,RoBERTa,f1-score,0.999784529209137,0.7708348630589618,0.5866812227074236,0.7330459585037311
11,RoBERTa,minimal-fp,0.999814927577972,0.4247742124972465,0.9513100436681222,0.39687744561672
12,RoBERTa,j-index,0.999786794185638,0.7676040825317572,0.6021834061135372,0.7324275407402531
13,RoBERTa,static,0.5,0.7211983258682723,0.2019650655021834,0.5758736335392552
