detector,number of words,roc_auc
DetectGPT,300,0.8137003239018729
DetectGPT,50,0.6053522155534306
DetectGPT,100,0.7022766479147853
DetectGPT,150,0.7614174015453439
DetectGPT,200,0.7911197071387359
DetectGPT,250,0.8087597554507512
Fast-DetectGPT,300,0.901449979158286
Fast-DetectGPT,50,0.6285494659837477
Fast-DetectGPT,100,0.7915342243267205
Fast-DetectGPT,150,0.8635797597112925
Fast-DetectGPT,200,0.8949075006393239
Fast-DetectGPT,250,0.9087241013193608
Ghostbuster,300,0.7883738153590627
Ghostbuster,50,0.5788995719112151
Ghostbuster,100,0.5880662383156595
Ghostbuster,150,0.6470678449958778
Ghostbuster,200,0.7217305804478034
Ghostbuster,250,0.7727361992186419
RoBERTa,300,0.7706991097021454
RoBERTa,50,0.6908525329321731
RoBERTa,100,0.7039227429927926
RoBERTa,150,0.7224395505371535
RoBERTa,200,0.7418345730796871
RoBERTa,250,0.767702828213324
