detector,number of words,tpr
DetectGPT,300,0.32309273640931935
DetectGPT,50,0.09850946990922335
DetectGPT,100,0.17701966885209466
DetectGPT,150,0.2389154350483387
DetectGPT,200,0.2882542504722747
DetectGPT,250,0.32803644849427716
Fast-DetectGPT,300,0.5535059451050117
Fast-DetectGPT,50,0.11791713325867861
Fast-DetectGPT,100,0.30392265807311925
Fast-DetectGPT,150,0.4766085120568952
Fast-DetectGPT,200,0.5525058339815535
Fast-DetectGPT,250,0.586398488720969
Ghostbuster,300,0.2221484677508574
Ghostbuster,50,0.0628641864634693
Ghostbuster,100,0.08478719857761974
Ghostbuster,150,0.10645627291921325
Ghostbuster,200,0.14279364373819314
Ghostbuster,250,0.18357595288365375
RoBERTa,300,0.3878208689854428
RoBERTa,50,0.16695408734602463
RoBERTa,100,0.18868763195910657
RoBERTa,150,0.21077897544171575
RoBERTa,200,0.24347149683298144
RoBERTa,250,0.2814386783716709
